2.086218087112844088e+01	-2.969592938664550097e+00	7.140339491712054176e+00
2.086218087112844088e+01	-2.969592938664550097e+00	7.140339491712054176e+00
1.979177526809536758e+01	-5.318072963190637381e+00	6.843384322396214969e+00
1.757492178769232183e+01	-7.536050727597030097e+00	7.075917992866790129e+00
1.234980443610668743e+01	-7.235051308490781707e+00	5.232552660865178673e+00
1.235475057179833414e+01	-7.225418686006120694e+00	4.817437838468049627e+00
1.235163034602148535e+01	-7.230416090262872686e+00	4.359740576197234319e+00
1.351571236612269900e+01	-6.285758104189374862e+00	4.669500836970118307e+00
1.338211924136432174e+01	-6.423331122047581943e+00	4.245939917911430328e+00
1.337617843991409217e+01	-6.428867971245663782e+00	3.789726865521044097e+00
1.497673276901171491e+01	-3.978736932063748455e+00	2.702131016635765715e+00
1.498001789131520134e+01	-3.971505565596415543e+00	3.157878206990800685e+00
1.498348519284866143e+01	-3.963946857638487309e+00	3.614576020030310755e+00
1.506504974590393964e+01	-1.545163892197884747e+00	6.738020682644052073e+00
1.461758763269732064e+01	-2.282032066144450866e+00	6.725134773632881924e+00
1.330354564448637511e+01	-2.811666425081601250e+00	6.711000908806273202e+00
1.197745849517141004e+01	-2.826652949245541890e+00	6.651580818252004867e+00
1.083452130428891635e+01	-2.826652949245541890e+00	6.573231400255056478e+00
9.686006998202428164e+00	-2.826652949245541890e+00	6.483578366531122406e+00
8.369631026488320913e+00	-2.826652949245541890e+00	6.377723849363270858e+00
8.264222106352400843e+00	-2.781843958622226776e+00	5.686218724854229301e+00
8.986614710118935534e+00	-2.331984333948661448e+00	4.574544138695104678e+00
8.930019180564375603e+00	-2.387348269810079415e+00	4.132103040318011900e+00
8.988843918473202521e+00	-2.330753048886591294e+00	4.132103040318011900e+00
9.251326030708652226e+00	-2.077305839792964459e+00	4.574544138695104678e+00
9.331152289867969074e+00	-1.937881473570915558e+00	4.244535068224176477e+00
9.331115787517022753e+00	-1.939682237809906562e+00	3.795404029039284310e+00
8.987362880715433988e+00	-2.331571088018739246e+00	3.683139838810298272e+00
8.928538142806607070e+00	-2.388166308942227367e+00	3.683139838810298272e+00
8.925901786529465198e+00	-2.389622478840443875e+00	3.234294936736903381e+00
8.955314155483877769e+00	-2.361324868378699815e+00	3.234294936736903381e+00
8.949412353091766192e+00	-2.364584680818745621e+00	2.784621825125861427e+00
8.919999984137353621e+00	-2.392882291280489682e+00	2.784621825125861427e+00
8.913439578882499603e+00	-2.396505877642868931e+00	2.332120501787713795e+00
